"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-06-30,"Miramar","FL","Jacksonville","Duval","Jacksonville",5338,2323,0.00780911062906725,0.0179666958808063,0.0544711756695415,1642
2016-06-30,"Lincoln Highlands","CA","San Francisco","Alameda","Oakland",5339,3500,0.00661489790048893,0.0294117647058823,0.1441647597254,768
2016-06-30,"Ivy City","DC","Washington","District of Columbia","Washington",5340,1990,0.00251889168765743,-0.00599400599400599,0.0375391032325339,231
2016-06-30,"Arnold Heights","NE","Lincoln","Lancaster","Lincoln",5341,853,-0.0127314814814815,-0.0447928331466965,-0.0748373101952278,728
2016-06-30,"LeClaire Courts","IL","Chicago","Cook","Chicago",5342,1384,0.0087463556851312,0.0259451445515196,0.0492797573919636,535
2016-06-30,"Garland","AL","Mobile","Mobile","Mobile",5343,1179,0.0051150895140665,0.00855431993156544,0.054561717352415,718
2016-06-30,"Copper Hill","FL","Jacksonville","Duval","Jacksonville",5344,1216,0.00412881915772089,0.0158730158730159,0.0235690235690236,455
2016-06-30,"Silver Hill","NM","Albuquerque","Bernalillo","Albuquerque",5345,1186,0.00168918918918919,0.0259515570934256,0.0067911714770798,545
2016-06-30,"Southeast","FL","Tampa","Pasco","New Port Richey",5346,892,0.0045045045045045,0.0252873563218391,0.0444964871194379,1459
2016-06-30,"Euclid Heights","FL","Tampa","Pinellas","Saint Petersburg",5347,1224,0.0057518488085456,0.0166112956810631,0.0425894378194208,1245
2016-06-30,"Cumberland Center","ME","Portland","Cumberland","Cumberland",5348,2004,0,0.0100806451612903,0.0245398773006135,1087
2016-06-30,"Monkbridge Gardens","NM","Albuquerque","Bernalillo","Albuquerque",5349,1076,0.00186219739292365,0.00373134328358209,0,564
2016-06-30,"Mechanicsville","TN","Knoxville","Knox","Knoxville",5350,797,0.00504413619167718,0.0191815856777494,0.0917808219178082,745
2016-06-30,"Gililland","AZ","Phoenix","Maricopa","Tempe",5351,1367,0.00960118168389956,0.0363912054586808,0.0875099443118536,594
2016-06-30,"D'Iberville","AL","Mobile","Mobile","Mobile",5352,1210,0.00248550124275062,0.00917431192660551,-0.0210355987055016,802
2016-06-30,"Bay Colony","VA","Virginia Beach","Virginia Beach City","Virginia Beach",5353,3881,0.00988810824876399,0.0210470928702973,0.0612523926715887,628
2016-06-30,"Alcova Heights","VA","Washington","Arlington","Arlington",5354,2654,0.00835866261398176,0.00759301442672741,-0.0217471433837081,731
2016-06-30,"Marshall School","CA","Sacramento","Sacramento","Sacramento",5355,1591,0.00759974667511083,0.0344603381014304,0.114926419060967,581
2016-06-30,"Greentree","WI","Madison","Dane","Madison",5356,1604,0.00124843945068664,0.000623830318153462,-0.0360576923076923,696
2016-06-30,"Eastwood Village","TX","San Antonio","Bexar","San Antonio",5357,917,0.00328227571115974,0.00658616904500549,0.0468036529680365,805
2016-06-30,"Meadowthorpe","KY","Lexington","Fayette","Lexington",5358,1213,-0.00410509031198686,-0.00164609053497942,0.00831255195344971,575
2016-06-30,"Gilbert Ranch","AZ","Phoenix","Maricopa","Gilbert",5359,1355,0.00519287833827893,0.0165041260315079,0.0495739736638265,691
2016-06-30,"Troy Hill","PA","Pittsburgh","Allegheny","Pittsburgh",5360,915,-0.00109170305676856,0.00882028665931643,0.0529344073647871,1035
2016-06-30,"Hunters Chase II","TX","San Antonio","Bexar","San Antonio",5361,1295,-0.000771604938271605,-0.00231124807395994,0.01171875,948
2016-06-30,"Tahoe Park South","CA","Sacramento","Sacramento","Sacramento",5362,1396,0.00721500721500722,0.0182348650619985,0.0738461538461539,826
